compound,smiles,SMR_VSA9,MATS1are,GATS2are,GATS1are,BCUTse-1h,RASA,PEOE_VSA10,nF,MATS2p,GATS2p,VSA_EState9,nHetero,TopoPSA(NO),TopoPSA,AATS1are,AMID_C,IC1,NdO,nO,SlogP_VSA2,C1SP2,NsCH3,ETA_shape_p,VSA_EState8,C3SP3,MATS2are,SMR_VSA5,SlogP_VSA5,FNSA1,DPSA1,AMW,AATS1p,MATS1p,BCUTp-1h,NssCH2,SssCH2,C2SP3,VSA_EState7,Mor02,Mor03,Mor03p,RotRatio,SssNH,SsssN,nHBDon,PEOE_VSA8,RNCG,DPSA3,RPCG,Kier2,nRot,Kier1,TASA,bpol,TpiPC10,GRAV,WNSA1,Mor06,SLogP,FilterItLogS,FCSP3,n6Ring,MDEC-22,nAromAtom,C2SP2,nRing,MDEC-23,BalabanJ,SaasC,NaasC,PEOE_VSA6,AATS3p,Mor06p,nCl,EState_VSA7,retention_time_min
Acetylfentanyl,CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0814585941008429,1.018841964692914,0.744119340502893,3.7020315109778417,0.9286505452839816,0.0,0,-0.0691053929286467,1.0734389856562692,0.0,3,23.550000000000004,23.550000000000004,6.0875,1.786793277798785,2.8999872017765096,1,1,36.48319950708767,1,1,0.0716332378223495,4.901931138196019,0,0.0520488864655906,32.22804289761662,25.32883193723964,0.3019850721402304,236.2059032467228,6.444090269040014,1.8135113857692309,-0.0529939772662796,1.9864443082880936,6,6.414198267461255,4,3.187641357660297,37.08251684281269,-6.766406426002145,-2.9726381466039595,0.1923076923076923,0.0,4.501334561602419,0,38.28723352125987,0.1995855320094577,39.05469969402233,0.1441927802195302,9.629757785467127,5,18.7810650887574,553.879304000519,30.371382,7.347501033567134,3992.742090779732,107.4264228816557,-3.178714100836321,3.7466000000000026,-4.353895991605922,0.3809523809523809,3,25.56113877978133,12,11,3,15.428565791784632,1.420848366864194,2.418525075663875,2,48.53093654769288,1.3077615804248126,-0.3555834976169253,0,35.23174507315853,9.8
Acrylfentanyl,C=CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0794819362867465,1.0429463159103285,0.7421948365707324,3.7019635379419378,0.954214749600948,0.0,0,-0.09696798573402,1.0896898221853972,0.0,3,23.550000000000004,23.550000000000004,6.090566037735849,1.7932928916880098,2.9073259698373364,1,1,36.48319950708767,2,0,0.0686813186813186,6.825004806347006,0,0.0356329611391296,25.30430569792599,18.40509473754901,0.3442413219003331,193.78114849124924,6.553029675529426,1.831914944528302,-0.0516293477999497,1.986936506401752,6,6.236121925813484,4,4.514682252722025,40.32400390452656,-6.815981519123911,-3.182004373595069,0.2222222222222222,0.0,4.423209561602419,0,31.36349632156925,0.1865625858927718,39.77094991727158,0.1526249626716009,10.36408163265306,6,19.753086419753085,593.574728358448,30.371382,7.425618580099778,4196.73501440468,133.20531535686922,-3.902659718847704,3.9127000000000014,-4.405716897476341,0.3181818181818182,3,27.935245956591373,12,12,3,16.708325097914926,1.4478148083944091,2.354172458583985,2,55.10987223129138,1.3165358165544154,-0.1809069038524188,0,35.23174507315853,13.5
Cyclopropylfentanyl,O=C(C1CC1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0837938014467976,1.0313693903685344,0.7383027477760673,3.701951777965632,0.9403856871125428,0.0,0,-0.1319501702128201,1.1376463427489991,0.0,3,23.550000000000004,23.550000000000004,6.075438596491228,1.811810588080665,2.898367142425093,1,1,36.48319950708767,1,0,0.0263852242744063,3.274010613504661,1,0.0275612337615176,38.14594894377801,31.24673798340104,0.3135429005292706,235.6337019678768,6.448521546592606,1.8402873803508768,-0.0250625036916945,1.986974053839884,8,8.658310101214834,6,5.384299487710174,38.25761030697779,-7.217256922075143,-3.0183464285802413,0.2068965517241379,0.0,4.667139077853364,0,37.28140236773064,0.1894370584886705,39.23420483268667,0.1408960322450036,9.467455621301776,6,19.322235434007133,594.2025306650212,32.377796,7.496964542621773,4452.9074995018,125.18547597302238,-4.509469778825807,4.136700000000004,-4.54987318901952,0.4347826086956521,3,29.880188367624456,12,11,4,20.69951607584148,1.262123117852007,2.482946563267181,2,48.53093654769288,1.280148301436914,-0.6943186019440613,0,18.19910120538483,17.6
Benzoylfentanyl,O=C(c1ccccc1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0781825876236224,1.0401100301776909,0.7329603861132241,3.7019867998795553,0.9596490662052914,0.0,0,-0.0979965941510069,1.0727875545752863,0.0,3,23.550000000000004,23.550000000000004,6.0841666666666665,1.8497570766023907,2.814165071949772,1,1,36.48319950708767,1,0,0.0235849056603773,3.1393938456925468,0,0.0198497376995162,25.30430569792599,28.76308341331784,0.3413605879976039,214.7145400273856,6.7407046230877325,1.8877180113333336,-0.0254984495196928,1.9947654470658904,6,6.224083529238651,4,3.084689683546104,41.85624876315345,-7.180895986660282,-3.700302105218564,0.1875,0.0,4.545174319727892,0,36.926947813266246,0.1673014847576292,42.62098238039773,0.1414337544824574,11.571428571428571,6,22.203125,649.4306970668398,32.377796,7.983717139214928,5156.220000134385,156.3342424629374,-4.792139850800004,5.040500000000004,-5.6837939638428026,0.2692307692307692,4,37.9080132589576,18,16,4,23.84662926255187,1.300371523141357,3.1312405612377874,3,66.73003775307771,1.3539246583385849,-0.2482079085905651,0,65.56358041546657,21.3
Butyrfentanyl,CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0850978220872613,1.020349817397788,0.7632520274077722,3.7019364497180702,0.949519823977521,0.0,0,-0.087181512462673,1.1135165407212004,0.0,3,23.550000000000004,23.550000000000004,6.052586206896552,1.8002678501813447,2.8718745863465074,1,1,36.48319950708767,1,1,0.0659630606860158,5.3181690637304815,0,0.0548395522565267,45.06968614346864,38.17047518309165,0.2923727587049704,272.64484803849695,6.2542109567857285,1.7988718844827591,-0.0475608157134554,1.9867137943826645,8,7.979767511694439,6,4.738245324115703,48.759888701397806,-9.254823073205593,-3.850608550854466,0.25,0.0,4.606156698790628,0,37.78431794449526,0.1860358639269159,38.97078406136539,0.1363788119949618,11.11111111111111,7,20.72704081632653,623.4290031095475,34.38421,7.425618580099778,4334.707964549643,126.03838746503776,-3.259795520199624,4.526800000000004,-5.145884009027776,0.4347826086956521,3,30.36688183923835,12,11,3,17.65338870719072,1.4626383409762167,2.451245078724787,2,55.4546737473835,1.2625439810059311,-0.2687480043642326,0,18.19910120538483,19.1
2-Thiofuranylfentanyl,O=C(c1cccs1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0751787299427649,1.0326813801488255,0.7269230091977773,3.7019937475424767,0.9576178741767372,0.0,0,-0.0461460423560311,1.00411300235066,0.0,4,23.550000000000004,51.790000000000006,6.096491228070176,1.7690381887163098,3.051445461747066,1,1,36.48319950708767,2,0,0.0238663484486873,3.164732090367011,0,0.0223091405667451,25.30430569792599,28.076779115322136,0.3779510584136769,161.9676138278551,7.22549230466668,1.9711454747368424,0.0132579919746222,2.93639417322866,6,6.279444922061264,4,3.114712831694253,39.286606103616585,-6.9419681149079615,-4.227554203468834,0.1935483870967742,0.0,4.558195153061224,0,31.36349632156925,0.1715584897486452,44.31897239648987,0.151034807856243,10.85782272456871,6,21.24037460978148,635.4134662020305,32.831382,7.8664467584897615,5290.30972913045,166.40405591209773,-4.681046447411836,5.102000000000005,-5.250972065598326,0.2916666666666667,3,31.92988972916787,17,14,4,21.461920909989026,1.2922571037913362,3.21055974604898,3,54.59730361615449,1.3735988919421458,-0.1055843207883305,0,52.74454198054766,22.6
Furanylfentanyl,O=C(c1ccco1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.063064772634374,1.0294870942011909,0.7387060344788031,3.70768763567556,0.942979122566412,0.0,0,-0.1049830939359318,1.0838201233150682,0.0,4,36.690000000000005,36.690000000000005,6.189473684210527,1.7690381887163098,3.051445461747066,1,2,36.48319950708767,2,0,0.0247524752475247,3.0761287477954147,0,-0.0023862407037228,25.30430569792599,28.95987934049528,0.3275168899333679,227.3395050320496,6.929619038370384,1.8482100361403515,-0.0611244345018311,1.9879374347548069,6,6.081582320230408,4,4.563581930068222,41.402176445798325,-7.562806322571023,-3.564809971406822,0.1935483870967742,0.0,4.427986819727891,0,31.36349632156925,0.2265751807766488,45.841725192744114,0.1449270339800817,10.85782272456871,6,21.24037460978148,621.4417368082838,32.107381999999994,7.8664467584897615,5108.05203085125,142.24282907051276,-4.747349540613941,4.633500000000004,-5.208376271916379,0.2916666666666667,3,31.92988972916787,17,14,4,21.461920909989026,1.2922571037913362,2.7134523080324504,3,48.53093654769288,1.3240495530516347,-0.5477117386820899,0,35.23174507315853,16.8
Cyclohexylfentanyl,O=C(C1CCCCC1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0884316969913032,1.010724859006706,0.7672953327665354,3.701957651637451,0.957985266333779,0.0,0,-0.1078910200917526,1.1516634482955828,0.0,3,23.550000000000004,23.550000000000004,6.031060606060606,1.8497570766023907,2.788644465220206,1,1,36.48319950708767,1,0,0.0235849056603773,3.274010613504661,1,0.0372927081638758,57.40841381255605,50.50920285217907,0.2631572602721514,329.61575765516466,6.1947160906031895,1.8173385839393947,-0.0205497268485935,1.9873758666448769,11,12.355585310711028,9,9.081574697206364,53.70247106174912,-10.5440440111013,-5.1156830187146,0.1875,0.0,4.7383736457545975,0,37.28140236773064,0.1725296619546406,38.923654983812206,0.1283205029706178,11.571428571428571,6,22.203125,666.6175195995771,38.397038000000016,7.599808110961046,5036.396545884832,127.42397342770258,-4.343422359216816,5.307000000000006,-5.355121909928569,0.5,4,37.9080132589576,12,11,4,23.84662926255187,1.300371523141357,2.498908191179358,2,67.79340141647091,1.2458021892701447,-0.3445430966822621,0,6.06636706846161,25.0
Isobutyrylfentanyl,CC(C)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.0850978220872613,1.0069166990621918,0.7632520274077722,3.701952415908953,0.9637285140452267,0.0,0,-0.0464899979927612,1.0735516604382511,0.0,3,23.550000000000004,23.550000000000004,6.052586206896552,1.7944772943669798,2.9210690060279982,1,1,36.48319950708767,1,2,0.1055408970976253,7.2074832183409026,1,0.0685169091073153,39.15178009730724,32.25256913693026,0.2990359848648741,259.121670474902,6.2542109567857285,1.7988718844827591,-0.0475608157134554,1.9867999915526924,6,6.404498196074675,4,3.183649588112972,41.13061247175804,-8.269429938878059,-3.679708910311172,0.2142857142857142,0.0,4.589014077853364,0,37.28140236773064,0.1864557378513878,36.26429776883164,0.1383332313654753,10.51862673484295,6,20.72704081632653,621.3125824436361,34.38421,7.426809455161437,4397.99695603321,124.28946908588529,-3.727627717599357,4.382700000000004,-4.772084009027776,0.4347826086956521,3,25.56113877978133,12,11,3,17.68687594852753,1.4797555378416496,2.4346821004572634,2,62.37841094707412,1.2824650059689722,-0.1385774225278259,0,32.04657560476608,18.1
Methoxyacetylfentanyl,COCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0,0.070078111403097,1.269536432372597,0.7589210026042432,3.702517303135252,0.9165525983882856,6.606881964512918,0,0.0007164087533708,1.0084267177568822,1.5766468761517465,4,32.78,32.78,6.161607142857143,1.7288185269523118,3.0094782535362032,1,2,50.199879012878114,1,1,0.0668449197860962,3.2632891927581604,0,-0.0896254815078709,25.30430569792599,18.40509473754901,0.299083735002182,257.8343547041733,6.522501446962978,1.7715778692857147,-0.0879638707098114,1.986524049621304,7,6.341451884143254,4,3.078162691385094,45.08152324286044,-6.610019142685943,-2.925416296053459,0.25,0.0,4.449906698790628,0,38.47329386284678,0.1951989741018836,47.96138513037758,0.1315962780547064,11.11111111111111,7,20.72704081632653,588.1025803471988,34.113796,7.425618580099778,4460.385749765139,123.13575552744304,-3.613068114187554,3.3731000000000027,-4.480357272665909,0.4090909090909091,3,27.935245956591373,12,11,3,16.708325097914926,1.4626383409762167,2.3547161531049525,2,48.53093654769288,1.3134870713311642,-0.5168330062651367,0,35.23174507315853,9.3
