compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
Isobutyl-F-fentanyl N-benzyl analog,39,16.8,16.39583953145967,0.4041604685403293,0.4041604685403293
Benzodioxole fentanyl,40,22.8,20.826112168067787,1.9738878319322133,1.9738878319322133
3-Methylfentanyl,41,17.4,17.193308074763266,0.20669192523673274,0.20669192523673274
3-Methylthiofentanyl,42,15.5,15.607581154826427,-0.10758115482642694,0.10758115482642694
β-Hydroxy-3-methylfentanyl (A),43,13.8,14.38035025331517,-0.580350253315169,0.580350253315169
β-Hydroxy-3-methylfentanyl (B),44,14.5,14.148057625021922,0.3519423749780781,0.3519423749780781
Despropionyl-3 methyl fentanyl,45,16.0,15.445586970451924,0.5544130295480763,0.5544130295480763
Brifentanil,46,8.8,9.30871026380644,-0.5087102638064387,0.5087102638064387
4-Phenylfentanyl,47,25.1,29.189858056927605,-4.0898580569276035,4.0898580569276035
N-Methyl carfentanil,48,5.2,5.38781113435485,-0.18781113435484986,0.18781113435484986
Carfentanil,49,17.2,16.375379501115063,0.8246204988849364,0.8246204988849364
Ocfentanil,50,10.3,11.376192998254878,-1.0761929982548768,1.0761929982548768
"2,2′-Difluoro acetylfentanyl",51,12.3,14.124612255666646,-1.8246122556666453,1.8246122556666453
2-Furanylethyl fentanyl,52,9.9,8.040810989294632,1.859189010705368,1.859189010705368
4′-Methyl acetyl fentanyl,53,14.3,14.134587677013206,0.16541232298679454,0.16541232298679454
Hexanoyl fentanyl,54,25.2,27.140069824882097,-1.940069824882098,1.940069824882098
4′′-Methoxy fentanyl,55,16.0,17.662322339973468,-1.6623223399734677,1.6623223399734677
2-Methoxy furanyl fentanyl,56,18.7,19.1618241219483,-0.46182412194830036,0.46182412194830036
3-Fluoro butyrfentanyl,57,18.8,20.05704308482295,-1.25704308482295,1.25704308482295
ortho-Methyl acetylfentanyl,58,12.5,12.836788794869062,-0.33678879486906155,0.33678879486906155
3-Furanyl fentanyl,59,18.4,14.664485590740599,3.7355144092594,3.7355144092594
N-Acetyl norfentanyl,60,2.7,3.763460009568366,-1.0634600095683657,1.0634600095683657
para-Methoxy furanyl fentanyl,61,19.5,18.58404831164559,0.9159516883544114,0.9159516883544114
Acetyl carfentanil,62,12.5,12.443343599242558,0.056656400757441716,0.056656400757441716
N-Ethyl carfentanil,63,5.9,5.367754450394685,0.5322455496053156,0.5322455496053156
"2,2′-Difluorofentanyl",64,17.6,15.776314908844208,1.8236850911557934,1.8236850911557934
Valerylfentanyl oxalate,65,23.5,22.224842803340998,1.275157196659002,1.275157196659002
"Fentanyl, 4-N-propyl analog",66,5.8,8.398711567841856,-2.598711567841856,2.598711567841856
N-Methyl norfentanyl,67,4.2,1.0148030771465262,3.185196922853474,3.185196922853474
Norfentanyl,68,4.2,4.1767249371986015,0.023275062801398683,0.023275062801398683
Butyryl norfentanyl,69,6.6,5.9241696795724135,0.6758303204275862,0.6758303204275862
Furanyl norfentanyl,70,5.1,5.525741820183404,-0.42574182018340423,0.42574182018340423
β-Methylfentanyl,71,17.7,18.249910701103076,-0.5499107011030766,0.5499107011030766
Tetramethylcyclopropylfentanyl,72,25.6,23.142273242182345,2.4577267578176567,2.4577267578176567
Fentanyl propyl acetyl analog,73,13.8,14.87020648804596,-1.0702064880459599,1.0702064880459599
Fentanyl N-oxide,74,19.5,16.032953190418663,3.467046809581337,3.467046809581337
Mirfentanil,75,8.8,15.637322894445425,-6.837322894445425,6.837322894445425
Fentanyl isothiocyanate,76,25.1,18.74278333449132,6.35721666550868,6.35721666550868
α-Methylbutyryl fentanyl,77,21.1,20.647066949487364,0.45293305051263744,0.45293305051263744
N-Propyl carfentanil,78,7.4,8.970493361801136,-1.5704933618011356,1.5704933618011356
