compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
N-Acetyl norfentanyl,60,2.7,4.673496723175049,-1.9734967231750487,1.9734967231750487
para-Methoxy furanyl fentanyl,61,19.5,19.95808219909668,-0.4580821990966797,0.4580821990966797
Acetyl carfentanil,62,12.5,12.918976783752441,-0.4189767837524414,0.4189767837524414
N-Ethyl carfentanil,63,5.9,6.839946746826172,-0.9399467468261715,0.9399467468261715
"2,2′-Difluorofentanyl",64,17.6,15.697423934936523,1.902576065063478,1.902576065063478
Valerylfentanyl oxalate,65,23.5,23.567609786987305,-0.06760978698730469,0.06760978698730469
"Fentanyl, 4-N-propyl analog",66,5.8,7.686276912689209,-1.8862769126892092,1.8862769126892092
N-Methyl norfentanyl,67,4.2,5.377694129943848,-1.1776941299438475,1.1776941299438475
Norfentanyl,68,4.2,3.9244887828826904,0.27551121711730975,0.27551121711730975
Butyryl norfentanyl,69,6.6,5.332746982574463,1.2672530174255368,1.2672530174255368
Furanyl norfentanyl,70,5.1,6.194763660430908,-1.0947636604309086,1.0947636604309086
β-Methylfentanyl,71,17.7,17.68747901916504,0.012520980834960227,0.012520980834960227
Tetramethylcyclopropylfentanyl,72,25.6,23.075176239013672,2.5248237609863295,2.5248237609863295
Fentanyl propyl acetyl analog,73,13.8,13.898682594299316,-0.0986825942993157,0.0986825942993157
Fentanyl N-oxide,74,19.5,14.256147384643555,5.243852615356445,5.243852615356445
Mirfentanil,75,8.8,9.739742279052734,-0.9397422790527337,0.9397422790527337
Fentanyl isothiocyanate,76,25.1,21.5515193939209,3.548480606079103,3.548480606079103
α-Methylbutyryl fentanyl,77,21.1,23.451824188232422,-2.3518241882324205,2.3518241882324205
N-Propyl carfentanil,78,7.4,6.728446960449219,0.6715530395507816,0.6715530395507816
N-Isopropyl carfentanil,79,7.0,6.993842124938965,0.006157875061035156,0.006157875061035156
Norcarfentanil,80,5.3,5.122622013092041,0.1773779869079588,0.1773779869079588
4-Methoxymethyl fentanyl,81,22.5,20.30893325805664,2.1910667419433594,2.1910667419433594
Norsufentanil,82,7.9,7.05000114440918,0.8499988555908207,0.8499988555908207
Thienyl fentanyl,83,10.7,13.126839637756348,-2.4268396377563484,2.4268396377563484
omega-Hydroxy fentanyl,84,7.7,12.04835033416748,-4.34835033416748,4.34835033416748
2-Isopropylfuranyl fentanyl,85,24.6,22.8624267578125,1.7375732421875014,1.7375732421875014
β-Methyl acetyl fentanyl,86,12.6,14.45874309539795,-1.8587430953979496,1.8587430953979496
3-Methylbutyr fentanyl,87,22.2,22.72089958190918,-0.5208995819091804,0.5208995819091804
β-Hydroxythiofentanyl,88,9.9,10.102360725402832,-0.20236072540283168,0.20236072540283168
Isovalerylfentanyl,89,22.7,23.706525802612305,-1.0065258026123054,1.0065258026123054
3-Allyl fentanyl,90,23.4,24.595657348632812,-1.195657348632814,1.195657348632814
para-Chlorofentanyl,91,20.8,20.822925567626953,-0.022925567626952414,0.022925567626952414
Trefentanil,92,22.9,17.551597595214844,5.348402404785155,5.348402404785155
Lofentanil,93,19.6,18.57123374938965,1.028766250610353,1.028766250610353
