fold_idx,repeat_idx,compound_idx,y_true,y_pred,train_r2_fold,train_rmse_fold,train_mae_fold,cv_r2_fold,cv_rmse_fold,cv_mae_fold,best_hp_json
0,0,0,12.4,10.579965591430664,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,2,16.1,16.912769317626953,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,6,15.2,15.29849910736084,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,10,9.8,9.151315689086914,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,11,13.5,11.790426254272461,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,19,9.3,9.501273155212402,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,30,11.4,11.620363235473633,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,31,20.0,22.073530197143555,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,33,21.1,19.254375457763672,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,43,13.8,13.491722106933594,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,44,14.5,13.53591537475586,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,45,16.0,13.578798294067383,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
0,0,65,23.5,23.472562789916992,0.9978536426930893,0.2801662814413007,0.223007833480835,0.9417256168750855,1.3126964213994348,0.998989792873985,"{""est__colsample_bytree"": 0.5, ""est__learning_rate"": 0.1, ""est__max_depth"": 2, ""est__n_estimators"": 100}"
