compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
4-Fluoroisobutyrfentanyl,23,19.8,16.59087165945166,3.2091283405483395,3.2091283405483395
4-Chloro furanyl fentanyl,24,22.6,21.040380317460322,1.5596196825396795,1.5596196825396795
ortho-Methyl acrylfentanyl,25,17.0,16.083476486291502,0.9165235137084977,0.9165235137084977
4-Methoxybutyrfentanyl,26,21.8,20.871473174603185,0.9285268253968155,0.9285268253968155
Despropionyl ortho-methyl fentanyl,27,16.5,15.37698315295815,1.1230168470418498,1.1230168470418498
Acetyl-α-methylfentanyl,28,11.4,13.69781936338172,-2.29781936338172,2.29781936338172
Butyryl-F-fentanyl N-benzyl analog,29,17.8,16.36300461871463,1.4369953812853709,1.4369953812853709
β-Hydroxyfentanyl,30,11.4,12.58285126984128,-1.1828512698412794,1.1828512698412794
2-Methylfuranyl fentanyl,31,20.0,21.56057865079363,-1.5605786507936301,1.5605786507936301
Despropionyl-2-fluorofentanyl,32,14.0,14.651433840048846,-0.6514338400488455,0.6514338400488455
2-Fluoro butyrfentanyl,33,21.1,18.887169920634925,2.2128300793650766,2.2128300793650766
ortho-Methyl methoxyacetyl fentanyl,34,11.9,15.639300936743004,-3.7393009367430032,3.7393009367430032
Benzylfuranyl fentanyl,35,15.0,16.15582928571429,-1.1558292857142902,1.1558292857142902
Cyclopentyl fentanyl,36,24.2,21.829012619047635,2.3709873809523643,2.3709873809523643
Benzoylbenzyl fentanyl,37,19.3,19.82066714285713,-0.5206671428571283,0.5206671428571283
meta-Methyl acetylfentanyl,38,13.8,14.067626165501165,-0.2676261655011647,0.2676261655011647
Isobutyl-F-fentanyl N-benzyl analog,39,16.8,15.405131280830282,1.3948687191697182,1.3948687191697182
Benzodioxole fentanyl,40,22.8,20.926148210678228,1.8738517893217725,1.8738517893217725
3-Methylfentanyl,41,17.4,16.783058333333308,0.6169416666666905,0.6169416666666905
3-Methylthiofentanyl,42,15.5,13.915931031746029,1.5840689682539715,1.5840689682539715
β-Hydroxy-3-methylfentanyl (A),43,13.8,14.267866666666668,-0.46786666666666754,0.46786666666666754
β-Hydroxy-3-methylfentanyl (B),44,14.5,13.189438998779,1.310561001221,1.310561001221
Despropionyl-3 methyl fentanyl,45,16.0,13.18760297313798,2.812397026862021,2.812397026862021
Brifentanil,46,8.8,9.944851587301583,-1.1448515873015825,1.1448515873015825
4-Phenylfentanyl,47,25.1,23.965514047619052,1.134485952380949,1.134485952380949
N-Methyl carfentanil,48,5.2,5.8212781601731525,-0.6212781601731523,0.6212781601731523
Carfentanil,49,17.2,15.833913095238092,1.3660869047619073,1.3660869047619073
Ocfentanil,50,10.3,13.80642697025198,-3.5064269702519795,3.5064269702519795
"2,2′-Difluoro acetylfentanyl",51,12.3,14.723651243814652,-2.4236512438146516,2.4236512438146516
2-Furanylethyl fentanyl,52,9.9,10.056672582972583,-0.15667258297258257,0.15667258297258257
4′-Methyl acetyl fentanyl,53,14.3,13.664390974025967,0.6356090259740341,0.6356090259740341
Hexanoyl fentanyl,54,25.2,23.630870238095255,1.569129761904744,1.569129761904744
4′′-Methoxy fentanyl,55,16.0,16.765038809523812,-0.7650388095238121,0.7650388095238121
2-Methoxy furanyl fentanyl,56,18.7,19.635024285714266,-0.9350242857142668,0.9350242857142668
3-Fluoro butyrfentanyl,57,18.8,19.505648730158722,-0.7056487301587211,0.7056487301587211
ortho-Methyl acetylfentanyl,58,12.5,13.319148938806292,-0.8191489388062916,0.8191489388062916
3-Furanyl fentanyl,59,18.4,17.081799652194213,1.318200347805785,1.318200347805785
N-Acetyl norfentanyl,60,2.7,5.016317936507937,-2.3163179365079367,2.3163179365079367
para-Methoxy furanyl fentanyl,61,19.5,19.434382142857157,0.0656178571428434,0.0656178571428434
Acetyl carfentanil,62,12.5,12.897096637806643,-0.3970966378066425,0.3970966378066425
N-Ethyl carfentanil,63,5.9,6.866868333333333,-0.9668683333333323,0.9668683333333323
