perm_idx,seed_perm,null_r2
0,42,-0.1360311615855135
1,43,0.009540209891186101
2,44,-0.14494153469429658
3,45,0.029352694663610214
4,46,-0.17418415464869588
5,47,-0.18474177665103728
6,48,-0.19609104509857891
7,49,0.07936931021631641
8,50,-0.2308811748493099
9,51,-0.29423962590510466
10,52,0.0005265462233571827
11,53,-0.0987126070259301
12,54,-0.1310901079168748
13,55,-0.21100887425694995
14,56,-0.18630927739317377
15,57,-0.10139352994011315
16,58,-0.07612459274971861
17,59,-0.18084320053082398
18,60,-0.0027760207181035
19,61,0.0017169428741260595
20,62,-0.20999365840715933
21,63,-0.1611849659064666
22,64,-0.047580273291329245
23,65,-0.23137570009076028
24,66,-0.04353881205211043
25,67,-0.05763064415613337
26,68,-0.06067275193584974
27,69,-0.10382111256772561
28,70,-0.15941331261346378
29,71,-0.10715967470429177
30,72,-0.16993400694218228
31,73,-0.09283549878436678
32,74,-0.11826723911824603
33,75,-0.16091481639872812
34,76,-0.12249196568159426
35,77,-0.16059597300362832
36,78,-0.07742410481221006
37,79,-0.21699941617482638
38,80,-0.18836272049435904
39,81,0.003043253426267922
40,82,-0.11101643106776646
41,83,-0.028112788291396774
42,84,-0.036689168405128314
43,85,-0.023926055243773926
44,86,-0.1618254345014448
45,87,-0.04741372821219
46,88,-0.07829145199434526
47,89,-0.2469056985166631
48,90,-0.11800261984452273
49,91,-0.09964119869162295
50,92,-0.17753641322631133
51,93,-0.013429737259527109
52,94,-0.2064148596591023
53,95,-0.1222568496575492
54,96,-0.032194095184083636
55,97,-0.07904731682126356
56,98,-0.11760731775852792
57,99,-0.16476688007710416
58,100,-0.12720052918438796
59,101,-0.2006359249304075
60,102,-0.18192269196021799
61,103,-0.23803182132326967
62,104,-0.14414834178206257
63,105,-0.07779168713055358
64,106,-0.22785492334927798
65,107,-0.14473001853946846
66,108,-0.22483650660944687
67,109,-0.20603078595605845
68,110,-0.2511850708434438
69,111,-0.16629961360408024
70,112,-0.2215672968554164
71,113,-0.1425046316292479
72,114,-0.23592196925873327
73,115,-0.1621935965480418
74,116,0.015884960369801693
75,117,-0.13318652976842704
76,118,-0.1562560163650614
77,119,-0.09659137896200334
78,120,-0.028368779407349776
79,121,-0.17910253413928715
80,122,-0.12834892367526057
81,123,-0.05843170941397805
82,124,0.026748884702122343
83,125,-0.28383679379778687
84,126,-0.12069692085120642
85,127,-0.0010907777328179157
86,128,-0.2188521036835332
87,129,-0.25379163286812667
88,130,-0.1341923129429649
89,131,-0.13503830076416387
90,132,-0.09985293716975463
91,133,0.02584910275857678
92,134,-0.1109607125269012
93,135,-0.09536376020811796
94,136,-0.087723567941921
95,137,-0.15593212913390314
96,138,-0.18189379113239162
97,139,-0.12495720357962332
98,140,-0.15153219495196327
99,141,-0.2600236464941779
