compound,smiles,nAromAtom,nAromBond,naRing,n6aRing,nRing,n6Ring,piPC1,piPC2,piPC3,piPC4,piPC5,piPC6,piPC7,piPC8,piPC9,piPC10,TpiPC10,SLogP,SMR,FilterItLogS,MW,AMW,Vabc,VMcGowan,TASA,RASA,LabuteASA,nRot,RotRatio,Kier1,Kier2,Kier3,FCSP3,C2SP3,C3SP3,GRAV,nBonds,nBondsM,nAtom,nHeavyAtom,nC,TopoPSA(NO),TopoPSA,apol,bpol,TPSA,RPSA,DPSA1,DPSA2,DPSA3,FNSA1,FPSA1,WNSA1,WPSA1,RNCG,RPCG,nO,nHetero,nHBAcc,nHBDon,SssNH,SsssN,PEOE_VSA6,PEOE_VSA8,PEOE_VSA10,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA2,SlogP_VSA5,SlogP_VSA6,SlogP_VSA11,EState_VSA7,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,NaaCH,NaasC,SaaCH,SaasC,NsCH3,SsCH3,NssCH2,SssCH2,NdO,SdO,C2SP2,C1SP2,ETA_beta,ETA_beta_ns,AETA_beta_ns,ETA_dBeta,AETA_dBeta,ETA_epsilon_1,ETA_eta_F,ETA_psi_1,ETA_shape_p,AATS1p,AATS2p,AATS3p,AATS1se,AATS2se,AATS3se,AATS1are,AATS2are,AATS3are,MATS1p,MATS1se,MATS1are,GATS1p,GATS1se,GATS1are,MATS2p,MATS2se,MATS2are,GATS2p,GATS2se,GATS2are,Mor01,Mor02,Mor03,Mor06,Mor01p,Mor02p,Mor03p,Mor06p,Mor01se,Mor02se,Mor03se,Mor06se,Xp-0d,Xp-1d,Xp-2d,IC1,AMID_C,BalabanJ,BertzCT,nF,nCl,MDEC-22,MDEC-23,BCUTp-1h,BCUTse-1h,retention_time_min
4-Fluoroisobutyrfentanyl,CC(C)C(=O)N(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.610917912644224,4.0943445622221,4.532599493153256,4.952299717083292,5.413875707182309,5.2879513242988585,5.511663075382136,5.648534000425722,5.563082592553066,5.633002292595154,7.519421217674199,4.521800000000004,108.33200000000006,-5.1899091245201685,368.2263917680008,6.575471281571443,365.89083671978,299.8400000000008,570.0651924982889,0.8791176226191619,161.34375427377117,6,0.2068965517241379,21.70273483947681,10.683760683760685,6.2374010828821325,0.4347826086956521,4,1,4752.163293536534,58,13,56,27,23,23.550000000000004,23.550000000000004,61.30599699999998,34.494003,78.3863660086254,0.120882377380838,203.66233177216225,1118.4023483887472,44.90921945274958,0.3429625705263913,0.6570374294736085,144.21213364161756,276.2772900884284,0.1791902404283499,0.1329444078687007,1,4,2,0,0.0,4.379795970857479,44.179309741689295,37.28140236773064,5.817220841045895,39.15178009730724,65.97797594889738,0.0,36.48319950708767,32.25256913693026,54.59730361615449,0.0,24.81375119869333,17.04348298072917,2.951745962337592,6.869288901434465,0.0,9,3,16.864467695602777,1.8951948956478115,2,3.848903128897718,6,5.972131734874338,1,12.83845814485477,11,1,31.0,14.5,0.5370370370370371,-2.0,-0.074074074074074,0.540731292517007,21.90650334363343,0.5986319505736984,0.1253225211942499,1.7957106032758623,1.494137747887505,1.2789504372861091,7.558696413793101,7.528901828571426,7.503870630136986,6.13448275862069,6.038123809523809,5.955219178082193,-0.0471783785627124,0.01296038912779,0.0329329283423157,1.1812414729373193,0.5893101235007291,0.6033577520002877,-0.0488664234060351,0.040452623092327,0.0394942316676898,1.074126736899976,0.7163402173561453,0.7566090654391142,1540.0,39.34986773774828,-7.0006721159287135,-3.873815533999636,659.4021551370413,23.309910858261944,-3.215322576557568,-0.7356198696838129,1511.6992731001428,39.77017024216018,-7.01178401361848,-3.355556815539772,19.22540387131522,13.041713895658194,11.562627582223142,3.088567432309884,1.7315174678163123,1.4894282501479792,721.8033847200239,1,0,22.993195061157675,19.35240459414277,1.987438746738092,4.009942579849134,19.8
4-Chloro furanyl fentanyl,O=C(c1ccco1)N(c1ccc(Cl)cc1)C1CCN(CCc2ccccc2)CC1,17,17,3,2,4,3,3.7495040759303713,4.26619481914876,4.765373937528427,5.242077648225161,5.594246587587894,5.601426699500128,5.8276580243117415,6.083644833903379,6.21185431022557,6.392492743330787,7.956487747521335,5.286900000000005,116.57750000000004,-5.94718845188297,408.1604557200007,7.558526957777791,372.59118112800087,310.82000000000085,637.4672332351106,0.9343235824424476,176.23808222467764,6,0.1875,22.203125,11.039480800432669,6.035714285714286,0.2916666666666667,4,0,5615.163998718922,57,18,54,29,24,36.690000000000005,36.690000000000005,62.73382499999999,31.614175,44.80949103281938,0.065676417557552,157.52536764655713,1370.2904932594677,49.89914624196494,0.3845590344478048,0.6154409655521949,179.01281832539132,286.4887101523857,0.228630148643693,0.1462414842248244,2,5,3,0,0.0,4.36568229297892,41.93277523254056,36.386129635310574,0.0,25.30430569792599,89.33953297302955,0.0,36.48319950708767,28.95987934049528,77.41035168577012,0.0,29.165378004696915,21.668563549164297,4.463216370136464,3.003827437838381,0.0,12,4,23.06918602790276,3.2548916607387657,0,0.0,6,5.92591133511528,1,13.168434996706624,14,2,37.0,18.5,0.6379310344827587,0.0,0.0,0.5707231040564374,26.65103308330789,0.6081274249540539,0.073875083948959,1.8925443464912284,1.6252511684509403,1.3756707431998247,7.650885929824558,7.659834159999998,7.56025013138686,6.217105263157895,6.16813,5.983065693430658,-0.0573543502516704,0.0061599363806018,0.0526198199629097,1.0108628585241628,0.7039044707112159,0.7216992038939792,-0.0652724690565786,-0.005932868925907,-0.0072130430489996,0.9884412918212676,0.9076058849920876,1.0053123858066486,1431.0,39.40571263635994,-7.450261284124082,-4.497372319457737,690.0615060614223,25.8561310633246,-3.452281274393254,-0.3483000099994372,1422.9065565274311,39.41148164792136,-7.62075676350491,-4.057963420886358,20.053830996061407,14.203509938206668,12.363147352128868,3.2375930271326947,1.7112759601098106,1.301367784916939,901.823309974202,0,1,28.944527460850228,23.433637308690084,2.20785157510125,3.7077109271607065,22.6
ortho-Methyl acrylfentanyl,C=CC(=O)N(c1ccccc1C)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.610917912644224,4.07753744390572,4.548599834499697,4.973279507552487,5.417210896488447,5.249324056745928,5.413458025310591,5.62784590856626,5.673645380235962,5.655554652342945,7.521385655223798,4.221120000000004,108.47000000000006,-4.935303189019519,348.22016351600075,6.448521546592606,357.1868188182305,293.7800000000006,605.4066595071477,0.9552380500814476,156.4886158386607,6,0.2142857142857142,20.72704081632653,10.51862673484295,5.75,0.3478260869565217,4,0,4443.373949934657,56,14,54,26,23,23.550000000000004,23.550000000000004,60.082203999999976,32.377796,28.36903593916339,0.0447619499185522,204.26036908617928,1053.1844044806717,39.32355258775637,0.3388543687034755,0.6611456312965245,136.1081873343709,265.5634448040844,0.1838305372449214,0.150528136633237,1,3,2,0,0.0,4.467049319727891,55.10987223129138,31.36349632156925,0.0,32.22804289761662,78.37916238998088,0.0,36.48319950708767,23.96854622924601,67.25225940658687,0.0,23.099010936235302,19.00504018948439,4.526019701281696,8.915004997654014,0.0,9,3,18.76006307518188,3.5345724457110306,1,2.063186919702072,6,6.231271890120194,1,12.55042857191448,11,2,30.75,15.0,0.5769230769230769,-0.75,-0.0288461538461538,0.5216049382716051,21.745806766550626,0.6391231028667794,0.1055408970976253,1.8233478692857148,1.5344219100857577,1.3452506801266544,7.505406428571425,7.483782828282826,7.41265532352941,6.072321428571429,5.988111111111111,5.85954411764706,-0.0488994933029104,0.0476002696297265,0.0815274967293223,1.1410521107614044,0.7185148969781153,0.7514867254149257,-0.0422890222051087,0.085145109056486,0.0615343375121756,1.045915826132305,0.942711949406294,1.0206540471061256,1431.0,34.97478410541577,-7.612410250646905,-4.572803369934868,632.904401764467,22.12911303525163,-3.183712776614972,-0.6138054952546432,1382.8853574476868,34.68354805697881,-7.616262935091345,-4.154675762896895,18.355160383312143,12.685871848001629,10.75066970042904,2.995744567724748,1.7957175298823098,1.4844818260002357,732.8828548332788,0,0,24.741277186980625,18.57326498439736,1.9910193449502944,3.701966404454689,17.0
4-Methoxybutyrfentanyl,CCCC(=O)N(c1ccc(OC)cc1)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.6375861597263857,4.0943445622221,4.543294782270004,4.990432586778736,5.430441519475078,5.362758226666926,5.613128106388071,5.72194977861165,5.643899765054824,5.758704593555238,7.59012584991461,4.5354000000000045,114.99600000000004,-5.402914619504587,380.2463782640009,6.337439637733349,385.90948994132,318.04000000000093,649.2703971787798,0.9376727324186396,168.65670621474845,8,0.2666666666666666,22.68,12.0,6.76,0.4583333333333333,6,0,4825.721843155474,62,13,60,28,24,32.78,32.78,65.22137599999998,38.126624000000014,43.15711482111299,0.0623272675813604,319.1362172470858,1388.455321683326,47.535946637256565,0.2695526161826343,0.7304473838173657,129.23858123845244,350.21727813590934,0.2477388803565162,0.113069628678332,2,4,3,0,0.0,4.566938591794743,37.255572541998674,37.78431794449526,5.749511833283905,45.06968614346864,60.160755107851486,5.749511833283905,43.5929970483652,38.17047518309165,54.59730361615449,5.749511833283905,29.165378004696915,18.84358116660588,4.607809296337226,5.24165042617649,1.6668429021290745,9,3,18.56541433197079,3.2008923627335086,2,3.732605004618269,8,7.783697620024522,1,12.87073052139798,11,1,31.75,14.5,0.5178571428571429,-2.75,-0.0982142857142857,0.5255555555555558,22.26915328121775,0.6139817629179334,0.099009900990099,1.761940934193549,1.4502087671061257,1.2839851370805824,7.561952516129028,7.542144249999997,7.457462013245031,6.121774193548388,6.024848214285713,5.887158940397351,-0.080041111084968,0.0363508204631253,0.0753352484818214,1.2402293038171313,0.7739699918139331,0.77059751805333,-0.0182588982047712,-0.0012182770349421,-0.0047869015424963,1.0488510526978614,1.0983283620202815,1.1203316222047066,1770.0,54.19065337787436,-9.880088535258368,-4.094535513340409,747.4201775571389,29.325467587490632,-4.104579147035852,-0.2536920265854725,1722.5268138148638,54.39496848111181,-9.903333308508731,-3.5761926625401568,19.769373945685235,13.707039898056804,11.394554887483595,3.030051428615188,1.7424946372815704,1.4749826364451095,722.0301849512268,0,0,27.462737713416217,19.68543018277849,1.9875097325555,3.702055806885588,21.8
Despropionyl ortho-methyl fentanyl,Cc1ccccc1NC1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.4339872044851463,3.912023005428146,4.350277936359301,4.7664383335842135,5.206750173022546,4.898306109122336,4.97910162642437,5.207605971106442,5.38420832443587,5.479335991561575,7.237912977950828,4.114020000000004,94.40970000000006,-5.2857590965899615,294.2095988320007,6.129366642333348,301.7815540906516,254.24,577.0653639786082,0.9920926902390708,133.71189894101607,5,0.2083333333333333,16.84375,8.74089490114464,5.2631578947368425,0.4,4,0,3371.672714848347,50,12,48,22,20,15.27,15.27,52.93661799999997,28.363381999999994,4.599403493420198,0.0079073097609292,247.7387019232809,799.4787596919823,29.64664774779918,0.2870434004452621,0.7129565995547379,97.11651363513072,241.21738808315803,0.2779266190099717,0.1166639784657636,0,2,2,1,3.716805055164092,2.6002286470143616,48.53093654769288,31.36349632156925,0.0,32.22804289761662,65.72420659954848,0.0,30.576019777736164,23.96854622924601,54.59730361615449,0.0,0.0,20.020331196939274,3.6418418542169446,5.769032535726259,0.0,9,3,19.400817045599727,4.0850940442724015,1,2.177900638522933,6,7.23297375142027,0,0.0,10,0,25.75,12.5,0.5681818181818182,-0.75,-0.034090909090909,0.5000000000000002,14.868072214930674,0.6666666666666671,0.0462962962962962,1.814923601,1.520120306373789,1.288438416261097,7.46686144,7.409374888888889,7.31173229032258,6.02758,5.900700000000001,5.739346774193548,-0.0065779784510477,0.0651436798848168,0.0854416730203701,1.1142848592522705,1.1271653968444415,1.053750136150746,-0.0565213554940545,-0.1071649969004333,-0.0974984569582092,1.0755720375350395,1.5861219429279898,1.446363867407327,1128.0,43.83131541421869,-7.961915021682961,-4.581987487845266,489.8934328502007,27.06102864337191,-3.3265009075631657,-0.3485702760896911,1075.3770924960572,43.529424462415705,-7.698945496496622,-4.080280295862202,15.200459844932896,10.809663088089318,9.225660310241889,2.88051380221855,1.860794102700144,1.314201712916242,571.270932458518,0,0,22.62120218486463,14.440637623091368,1.989979794697516,3.25765636710814,16.5
Acetyl-α-methylfentanyl,CC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1,12,12,2,2,3,3,3.555348061489413,4.02535169073515,4.448516375942715,4.910814958814044,5.318732551290629,5.117993812416755,5.358647827456335,5.544444754252622,5.383347615732612,5.568344503761097,7.406938390964053,4.135100000000004,103.80500000000006,-4.376503405143032,336.22016351600075,6.343776670113222,342.5272925421148,283.99000000000046,578.7788348262279,0.9459980951662904,150.81327675644835,5,0.1851851851851851,19.753086419753085,9.796296296296296,5.489603024574669,0.4090909090909091,5,0,4217.727026826361,55,13,53,25,22,23.550000000000004,23.550000000000004,58.41220399999997,32.377796,33.039347243671685,0.0540019048337091,241.75357435873704,975.5107095219146,36.85104087788367,0.3024302142011881,0.6975697857988117,113.20612776912706,261.1153601421899,0.1941245993183203,0.1402474703539814,1,3,2,0,0.0,4.547630857898716,48.53093654769288,37.78431794449526,0.0,45.19362092645521,66.2271221763131,0.0,35.980283930323054,32.25256913693026,60.6636706846161,0.0,35.23174507315853,21.604294140287937,3.1545858021047413,6.0924877173091465,0.0,10,2,20.765471336475056,2.4144032880599444,2,3.990740740740741,5,5.256332778673147,1,12.212538911420657,11,1,29.25,14.0,0.56,-1.25,-0.05,0.518238993710692,19.30396451628678,0.6363636363636367,0.1098901098901098,1.8057923760000003,1.5049662021549397,1.3184839468556568,7.504768072727271,7.47617616161616,7.453383737226276,6.069090909090908,5.97559595959596,5.893956204379562,-0.0501287576129504,0.0485709868931332,0.0834862903687921,1.168761836543152,0.7186660593077349,0.7537097752131096,-0.0600039662882458,0.1091890297315713,0.0946397663002417,1.0762300870584494,0.9056133510462984,0.9792105480680148,1378.0,37.23652644554627,-6.909548258166205,-4.226796665493271,597.9270340997963,24.24982371746726,-3.146838720337502,-0.5398154399017075,1330.798685925473,37.47328396622013,-6.979218015830838,-3.808320643953979,17.648053602125596,12.147867045540842,10.611339139894264,2.944954191851711,1.7883726815948036,1.4719105681145097,662.9412795480589,0,0,21.78044290805004,18.298999548461268,1.986872560729936,3.702034024061222,11.4
Butyryl-F-fentanyl N-benzyl analog,CCCC(=O)N(c1ccc(F)cc1)C1CCN(Cc2ccccc2)CC1,12,12,2,2,3,3,3.58351893845611,4.060443010546419,4.499809670330265,4.966335035199676,5.41164605185504,5.304237309059027,5.550776972196299,5.690148283380397,5.672678729604868,5.83900514459794,7.579327637836627,4.623400000000005,103.53500000000008,-5.169117624037693,354.2107417040007,6.68322154158492,348.5948514959227,285.75000000000057,559.2328679510414,0.8876629973127075,154.9788121593746,6,0.2142857142857142,20.72704081632653,10.51862673484295,5.9972838388411045,0.4090909090909091,5,0,4608.390701065773,55,13,53,26,22,23.550000000000004,23.550000000000004,58.30241099999998,32.48758899999999,70.77296719591338,0.1123370026872924,220.99576417445635,1068.0236351720202,42.56384458632832,0.3246081608729012,0.6753918391270987,128.83936567327203,268.06798664593987,0.1824366423784934,0.1337418273314949,1,4,2,0,0.0,4.34897704606534,37.255572541998674,37.78431794449526,5.817220841045895,45.1936209264552,65.97797594889738,0.0,29.938443101175096,38.17047518309165,54.59730361615449,0.0,17.89001399900271,16.991375086553656,3.240391688460044,4.906292022254775,0.0,9,3,16.804768993499152,1.8648892220973967,1,2.0170698772060605,7,6.129613833508758,1,12.718990658795402,11,1,30.5,14.5,0.5576923076923077,-1.5,-0.0576923076923076,0.5468104222821206,21.4120437682764,0.5947548460661348,0.0901073619631901,1.802458661272728,1.4968722131160606,1.274489119414394,7.57506567272727,7.553348161616159,7.513573781021896,6.155454545454545,6.068919191919193,5.962832116788321,-0.0497020318436783,0.0107351790323302,0.030851849551891,1.167514820766375,0.586989000291926,0.5975313237851694,-0.0808526771169534,0.0332302864055678,0.0293273856219825,1.094859755861018,0.721997646372212,0.7631685527773179,1378.0,43.4333226630628,-7.120204792717956,-3.289990100336959,595.6537213564485,25.90076711612992,-3.274205858050452,-0.2472432694544862,1357.021918393914,43.57777741770806,-7.351057393822361,-2.851448386406515,18.355160383312143,12.66903509559602,10.883804899963724,3.1076905007125064,1.7268293736705798,1.5203566871843646,693.8420038457308,1,0,25.288955182438578,19.736875802665026,1.9867498587575103,4.009941303323453,17.8
β-Hydroxyfentanyl,CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1,12,12,2,2,3,3,3.58351893845611,4.04305126783455,4.4942386252808095,4.9362708788073935,5.353633807218745,5.164071432985645,5.412761500938905,5.516448376038702,5.480378472761016,5.566434283504978,7.438052592937722,3.627600000000003,105.08280000000006,-3.808677272665909,352.2150781360008,6.522501446962978,351.3175194936054,289.8600000000005,566.356736569333,0.8956361690118801,155.60751050864437,6,0.2142857142857142,20.72704081632653,10.51862673484295,5.75,0.4090909090909091,5,0,4509.861490507396,56,13,54,26,22,43.78,43.78,59.21420399999997,32.377796,65.99460894876067,0.1043638309881201,218.55846423392384,1228.286078716912,48.833266286665065,0.3271858945323694,0.6728141054676307,130.8312426229267,269.03698155561653,0.1992748427748604,0.1165866997171203,2,4,3,1,0.0,4.276514077853364,55.4546737473835,37.78431794449526,0.0,38.33200928536492,66.2271221763131,0.0,41.58972690192837,37.85361994791396,60.6636706846161,0.0,72.48731761515721,20.011644558223047,1.91833786217236,4.3583256387571865,0.0,10,2,19.780192576195667,1.947978330858923,1,1.9202594539499305,6,4.819135386173799,1,12.528319518416538,11,1,30.0,14.0,0.5384615384615384,-2.0,-0.0769230769230769,0.5358024691358027,21.17244486771576,0.6071428571428574,0.0935828877005347,1.7871275777857147,1.5021234848964102,1.27687302239015,7.591958285714284,7.557515719999998,7.507883514285713,6.15625,6.06183,5.944157142857143,-0.0212135619544203,-0.0209983174653919,0.0079654704838004,1.1529143242717974,0.8199841103387955,0.8198834094324419,-0.0785166246523374,0.0209793695088304,0.0119668741670034,1.1075635013801044,0.8988648369311746,0.9622859019584764,1431.0,41.77200754472232,-7.946073662288156,-3.932049309439969,614.7245483914526,24.69468714582496,-3.5436156209380734,-0.5205826799152526,1400.1084811702544,41.4186914344057,-7.971749628425407,-3.512751041050132,18.355160383312143,12.685871848001629,10.752854378694549,3.112659396586312,1.7258535867977465,1.484860280400744,681.80313992186,0,0,24.150751485320047,19.52692989243931,1.9869281901694376,3.702001828414308,11.4
2-Methylfuranyl fentanyl,Cc1ccc(C(=O)N(c2ccccc2)C2CCN(CCc3ccccc3)CC2)o1,17,17,3,2,4,3,3.7495040759303713,4.26619481914876,4.765373937528427,5.253908216705631,5.60672076181307,5.548102848808668,5.780164644575007,6.0785019654252,6.207331689451416,6.373479759716261,7.942395552684415,4.941920000000005,116.30450000000005,-5.735840656284045,388.2150781360007,6.81079084449124,374.6760983219521,312.6700000000009,645.517275570234,0.9494858920877446,172.2997581121926,6,0.1875,22.203125,11.039480800432669,6.035714285714286,0.32,4,0,5323.493002352963,60,18,57,29,25,36.690000000000005,36.690000000000005,64.22420399999999,34.113796,34.34251060400841,0.0505141079122551,235.65719606617688,1377.774348797561,41.829694296762085,0.3266869133470267,0.6733130866529734,150.99773896445717,311.21158989242974,0.2251155791790372,0.1449399498324305,2,4,3,0,0.0,4.445435379398672,48.53093654769288,31.36349632156925,5.760247418874442,32.22804289761662,89.88035115098522,0.0,36.48319950708767,34.72012675936972,77.21355575859268,0.0,48.22184934131076,24.416259392485216,3.002716613326281,4.943300964315158,0.0,12,4,24.23266549813736,3.4936521551933235,1,1.8699001269370483,6,6.076117450704391,1,13.26871560895152,15,1,36.25,18.0,0.6206896551724138,-0.25,-0.0086206896551724,0.5444444444444446,26.0193381179385,0.6170839469808546,0.0596658711217183,1.8393993446666672,1.5530698567324626,1.3311843946938808,7.59085933333333,7.581394981132073,7.533837034965034,6.1675,6.098896226415094,5.982643356643358,-0.0579802573491574,0.0278128490736009,0.0665648231720797,1.1184737420821167,0.7589928194479219,0.7441118156180833,-0.0869308963239064,0.0531187346627197,0.0559831009718141,1.076433430887312,0.9490567488047412,0.9762367362011728,1596.0,42.06811097150656,-8.402837820374243,-3.9916048144558913,724.0973699483388,25.93836489503772,-3.935666485276995,-0.2871607685863275,1563.360484083583,41.487977350261815,-8.535152890672066,-3.588837969146949,20.053830996061407,14.203509938206668,12.375052733928031,3.0821183032968253,1.772867867626363,1.3029931783069362,912.2660052471416,0,0,29.470793334578023,22.61184414705676,1.9884455180280645,3.707918754672008,20.0
Despropionyl-2-fluorofentanyl,Fc1ccccc1NC1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.4339872044851463,3.912023005428146,4.350277936359301,4.7664383335842135,5.206750173022546,4.898306109122336,4.97910162642437,5.207605971106442,5.38420832443587,5.479335991561575,7.237912977950828,3.944700000000004,89.63070000000006,-5.176092850052025,298.18452695600064,6.626322821244458,290.553127820602,241.9099999999999,532.1149253176391,0.946098574739051,131.5124922295457,5,0.2083333333333333,16.84375,8.74089490114464,5.2631578947368425,0.3684210526315789,4,0,3587.7357071518463,47,12,45,22,19,15.27,15.27,49.82323899999998,26.466760999999995,30.31581871387457,0.053901425260949,202.06540540825483,828.2869833174518,35.62298809972594,0.3203641892334633,0.6796358107665367,101.34027276252392,214.98806906931813,0.2579292243825999,0.1089432141541642,0,3,2,1,3.341805055164092,2.506478647014361,42.46456947923127,25.67611004688569,5.817220841045895,25.30430569792599,65.97797594889738,0.0,30.576019777736164,18.40509473754901,54.59730361615449,0.0,12.13273413692322,17.938713034881555,3.248508520883611,3.2721598639455785,0.0,9,3,17.559198883542006,1.8688406007462304,0,0.0,6,6.5206683848291895,0,0.0,11,0,26.5,13.0,0.5909090909090909,-0.5,-0.0227272727272727,0.5380952380952384,16.133830087574125,0.6113861386138615,0.0269905533063427,1.820145470638299,1.5287968562987382,1.2491630266726776,7.562418297872334,7.526457380952376,7.441454440677964,6.14636170212766,6.048130952380954,5.89077118644068,-0.0069147897007392,-0.0045026911173357,0.0111221479431251,1.0936866197540809,0.6540576211830378,0.661828661769512,-0.1196128797305109,-0.0583530845057887,-0.0593007006884191,1.125216299438,0.8498521915724964,0.8716870413174387,990.0,42.515353967803904,-7.316960476395194,-4.189107118218547,433.2191363332486,26.727646916999497,-3.252103734311855,-0.5395280554930874,967.6569836865276,41.879132040322304,-7.304842981866167,-3.8307450673874337,15.200459844932896,10.809663088089318,9.225660310241889,3.0047585660194684,1.7802432111380275,1.314201712916242,576.9988716008371,1,0,22.62120218486463,14.440637623091368,1.9866467532077,4.009936396217674,14.0
2-Fluoro butyrfentanyl,CCCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.610917912644224,4.07753744390572,4.52720864451838,4.980176086611547,5.403802874394014,5.233445456509227,5.410110274938871,5.608326450883828,5.656101070585053,5.688563078292831,7.51726606271257,4.665900000000004,108.40200000000006,-5.563709124520169,368.2263917680008,6.575471281571443,365.89083671978,299.8400000000008,601.2469007649895,0.923621398685328,161.34375427377117,7,0.2413793103448276,21.70273483947681,11.253462603878116,6.2374010828821325,0.4347826086956521,6,0,4808.337749830835,58,13,56,27,23,23.550000000000004,23.550000000000004,61.30599699999997,34.494003,49.71993653522609,0.0763786013146719,232.4693217056025,1161.221386378625,40.44427387300515,0.3214430379666243,0.6785569620333758,136.2140020723115,287.54382119233395,0.1717930026238853,0.1271509709150288,1,4,2,0,0.0,4.181246456916099,49.38830667892189,32.096931669811696,5.817220841045895,45.06968614346864,65.97797594889738,0.0,36.48319950708767,38.17047518309165,54.59730361615449,0.0,12.990104268152232,17.24486938576495,4.052300081821255,4.909395600641542,0.0,9,3,17.167160789980958,1.4702555679038918,1,1.9896995972401816,8,6.971996085222615,1,12.73306746080337,11,1,31.0,14.5,0.5370370370370371,-2.0,-0.074074074074074,0.540731292517007,21.87546100177951,0.5986319505736984,0.0866199778842609,1.7957106032758623,1.4845527546984671,1.258703637691897,7.5586964137931,7.528675961904759,7.494413342465751,6.13448275862069,6.037266666666667,5.94009589041096,-0.0471783785627125,0.01296038912779,0.0329329283423157,1.1812414729373193,0.589310123500729,0.6033577520002876,-0.0892328170657511,0.0367871792927111,0.0319712934229525,1.113772302101483,0.7199402068021964,0.7639976655009094,1540.0,46.16997745141836,-9.13395963022367,-4.045962373189045,659.4021551370413,26.349642981401164,-3.95268078456279,-0.3236181827435736,1511.6992731001428,44.53611017132764,-9.042079307950928,-3.36453419651564,19.06226716449869,13.185871848001629,11.13109654455999,3.0393730126283933,1.736564844727266,1.5011131896599397,726.1680239904895,1,0,26.971529874848013,19.716401280542268,1.9873909345904568,4.00994783184481,21.1
ortho-Methyl methoxyacetyl fentanyl,COCC(=O)N(c1ccccc1C)C1CCN(CCc2ccccc2)CC1,12,12,2,2,3,3,3.610917912644224,4.07753744390572,4.52720864451838,4.980176086611547,5.403802874394014,5.233445456509227,5.410110274938871,5.608326450883828,5.656101070585053,5.688563078292831,7.51726606271257,3.6815200000000026,110.14900000000006,-5.008944572586756,366.2307282000008,6.425100494736856,368.6135047174627,303.9500000000007,601.058896847817,0.920733100591782,162.29176410035183,7,0.2413793103448276,21.70273483947681,11.253462603878116,6.2374010828821325,0.4347826086956521,4,0,4718.60559409115,59,13,57,27,23,32.78,32.78,62.21778999999998,36.12021000000001,51.74580460312351,0.079266899408218,265.97403075833296,1268.5785263658404,47.06721909547866,0.2962836127197215,0.7037163872802787,126.2624402467774,299.8915379896742,0.1928996414425872,0.1300508816666059,2,4,3,0,0.0,4.493746456916099,48.53093654769288,38.47329386284678,6.606881964512918,32.22804289761662,65.72420659954848,0.0,50.199879012878114,23.96854622924601,54.59730361615449,0.0,23.099010936235302,19.016398840742205,3.076166806611431,5.326751213241286,1.5834495972401816,9,3,18.778690244958213,3.534424530254673,2,3.650321324198488,7,6.336046292894411,1,12.774734127470037,10,1,30.75,14.0,0.5185185185185185,-2.75,-0.1018518518518518,0.5304093567251463,21.95724563994653,0.6106750392464682,0.1028277634961439,1.7665143949152546,1.462525463424878,1.341512170739478,7.577377559322031,7.5868335094339585,7.482468628571428,6.140677966101695,6.0716320754716975,5.935657142857143,-0.0838124436121233,0.033166042143003,0.0729245181797262,1.2297545515768926,0.7720536685739339,0.7646840991369994,0.0448119617520763,-0.0563455237105099,-0.0651091878834551,0.972462994822768,1.2397117838028349,1.246508894627691,1596.0,38.40039691113867,-6.446952826335853,-3.976855831590472,679.4549638457153,22.810487868629966,-2.5820121392945934,-0.6209351307224833,1557.147846646038,38.40876795517031,-6.76364026077446,-3.5702108516241147,19.06226716449869,13.185871848001629,11.13109654455999,3.060044340366863,1.7335417722876296,1.5011131896599397,724.1680239904895,0,0,24.741277186980625,18.57326498439736,1.990594737836246,3.7025209001469546,11.9
