fold_idx,repeat_idx,compound_idx,y_true,y_pred,train_r2_fold,train_rmse_fold,train_mae_fold,cv_r2_fold,cv_rmse_fold,cv_mae_fold,best_hp_json
0,0,0,12.4,13.102044571131035,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,2,16.1,16.604016515001568,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,6,15.2,15.501212168544322,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,10,9.8,11.686020615439745,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,11,13.5,14.717512175481724,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,19,9.3,11.912044052748218,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,30,11.4,11.2302178337467,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,31,20.0,19.804280253056227,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,33,21.1,19.384797740914657,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
0,0,43,13.8,14.250296042089023,0.9587917400207459,1.2276003220695708,0.9259301668724296,0.8662580131220053,1.9886545318928885,1.2217542175248444,"{""est__alpha"": 14.563484775012444}"
