perm_idx,seed_perm,null_r2
0,42,-1.0860946823921263
1,43,-0.483126607406842
2,44,-1.1949337519333068
3,45,-0.37542840352336004
4,46,-1.41938286911416
5,47,-1.6559141569476217
6,48,-1.067598916244556
7,49,-0.5337912974852591
8,50,-1.537073796062373
9,51,-1.3190234480639575
10,52,-1.0303345236712493
11,53,-0.7171613818596904
12,54,-1.381100307793272
13,55,-1.2214115707824154
14,56,-1.2941369055297354
15,57,-1.1057472155910137
16,58,-0.7525662558846318
17,59,-1.0053304531326954
18,60,-1.1402587422805925
19,61,-0.7462087009914458
20,62,-0.8214005060436522
21,63,-1.0624031188216063
22,64,-1.3339743969391946
23,65,-1.1660706755765453
24,66,-0.8451576912823352
25,67,-1.3815607412595174
26,68,-0.6830861043648925
27,69,-0.9028584006932704
28,70,-1.1637861999621737
29,71,-0.7415489651022551
30,72,-1.2048597880212757
31,73,-1.0275558459058496
32,74,-0.43927608849604793
33,75,-0.9547659563927958
34,76,-0.7634644978602629
35,77,-1.344834158670745
36,78,-0.9633889246081082
37,79,-1.1617745018625625
38,80,-1.8385313986248213
39,81,-0.6310991930722551
40,82,-0.9406293536106606
41,83,-1.3838885295168075
42,84,-0.8494385223288596
43,85,-0.7649891775904175
44,86,-0.5860575788690804
45,87,-0.7371101921903167
46,88,-0.7559094553433601
47,89,-1.6653903686283145
48,90,-1.416791715456768
49,91,-1.4336892296656432
50,92,-0.8580492130803405
51,93,-1.0273754633958132
52,94,-1.553468206285696
53,95,-0.7094162187514005
54,96,-0.8225496530755759
55,97,-0.7618390628941168
56,98,-0.8951522842011739
57,99,-1.0553996765725042
58,100,-1.2219225537935008
59,101,-1.0202732836806203
60,102,-1.4632761090082902
61,103,-0.9160481644732101
62,104,-1.3909615683861476
63,105,-1.2464682360507253
64,106,-0.6856470139363469
65,107,-1.3123300408084269
66,108,-0.8731822848131866
67,109,-1.0726412237501814
68,110,-1.8707071227376832
69,111,-1.1993630143343725
70,112,-1.2657498503582962
71,113,-1.2471909894579292
72,114,-0.9992467923579941
73,115,-1.120132122742843
74,116,-1.2064012405314144
75,117,-1.2508380109787243
76,118,-1.340848380472035
77,119,-0.988706799131797
78,120,-0.9378075044011716
79,121,-1.166558143338324
80,122,-1.5869112238973362
81,123,-0.9639251550638722
82,124,-0.6098251664135985
83,125,-1.5642487856337501
84,126,-0.859333496519384
85,127,-0.7312898006866665
86,128,-1.2019547990260298
87,129,-1.541916149738935
88,130,-0.8814965274690534
89,131,-0.953781188515326
90,132,-0.9154036963392012
91,133,-1.1895050621227088
92,134,-0.5931329943728094
93,135,-0.8899110074268538
94,136,-0.9291789275310839
95,137,-0.7010319548748948
96,138,-1.5824051985155474
97,139,-1.1642320642400843
98,140,-1.1421628269212147
99,141,-1.0253699190006125
