ssot_num,rep_id,algo_id,candidate,cv_rmse_mean,cv_rmse_sd,cv_r2_mean,cv_r2_sd,cv_mae_mean,cv_mae_sd,delta_train_cv_r2,q2_loo,p_y_scram_reported,loocv_rmse,loocv_mae
1,mordred,ridge,mordred__ridge,1.9477395061949558,0.09011134749757736,0.8918867216400941,0.010011724917221453,1.4149949571063458,0.059228478938853246,0.07527610017561637,0.9063049032516901,< 0.0099,1.8149626424169898,1.3490847586264674
2,mordred,rf,mordred__rf,1.9913758734281573,0.061237280414160516,0.8871094924731041,0.007050129301588224,1.548242023987796,0.04583521322909787,0.09022792303745941,0.8946612803760868,< 0.0099,1.9244351289047368,1.5070811948426859
3,mordred,xgb,mordred__xgb,1.889149547677749,0.06776275124066537,0.8983712080135096,0.0072065355225811156,1.4300190725225082,0.050317510783725,0.09995148093669837,0.9142045334085838,< 0.0099,1.736766480099638,1.2982941226756317
4,mordred,gp_rbf,mordred__gp_rbf,1.8130520118365545,0.07666227718192124,0.9063516187310956,0.007830233275378773,1.2278782845258926,0.056358730875881814,0.08255533734662857,0.9147729899580518,< 0.0099,1.7310032555754449,1.1447070325794129
5,mordred,mlp,mordred__mlp,1.9097006362943492,0.07534800943523974,0.8961228288926506,0.008230829543946666,1.2841084961612839,0.05020982257571985,0.09609725729069463,0.9011035845685399,< 0.0099,1.8646594806182248,1.2161815826731832
